,name,states,transitions,encoding,time,lower_reachability_value,lower_importance_value,upper_reachability_value,upper_importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.010479927062988281,0.81,1.0,0.81,1.0,q0: start,q44: waitingForResultApproval,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.00603032112121582,0.81,1.0,0.81,1.0,q0: start,q44: waitingForResultApproval,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.009238004684448242,0.81,1.0,0.81,1.0,q0: start,q30: customerTaskevent3,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.005941867828369141,0.81,1.0,0.81,1.0,q0: start,q30: customerTaskevent3,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.009544134140014648,0.81,0.095,0.81,0.095,q0: start,q61: companyResultsshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.006725788116455078,0.81,0.095,0.81,0.095,q0: start,q61: companyResultsshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.009608983993530273,0.81,1.0,0.81,1.0,q0: start,q31: Givefeedback3,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.006124973297119141,0.81,1.0,0.81,1.0,q0: start,q31: Givefeedback3,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.01101374626159668,0.81,0.97,0.81,0.97,q0: start,q4: registered,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.007153987884521484,0.81,0.97,0.81,0.97,q0: start,q4: registered,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.009490966796875,0.81,1.0,0.81,1.0,q0: start,q49: finished,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.024992942810058594,0.81,1.0,0.81,1.0,q0: start,q49: finished,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.010648250579833984,0.81,1.0,0.81,1.0,q0: start,q5: companyvpcAssignInstance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.01958298683166504,0.81,1.0,0.81,1.0,q0: start,q5: companyvpcAssignInstance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07762598991394043,0.81,1.0,0.81,1.0,q0: start,q17: Givefeedback0,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.012025117874145508,0.81,1.0,0.81,1.0,q0: start,q17: Givefeedback0,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.037335872650146484,0.81,0.0,0.81,0.0,q0: start,q48: customerwaitingForActivityReport,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.023504018783569336,0.81,0.0,0.81,0.0,q0: start,q48: customerwaitingForActivityReport,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.1218869686126709,0.81,0.952,0.81,0.952,q0: start,q42: companywaitingForScores,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.03032684326171875,0.81,0.952,0.81,0.952,q0: start,q42: companywaitingForScores,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.04196619987487793,0.81,1.0,0.81,1.0,q0: start,q0: start,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.023406028747558594,0.81,1.0,0.81,1.0,q0: start,q0: start,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.08052182197570801,0.81,1.0,0.81,1.0,q0: start,q46: waitingForActivityReport,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.0220792293548584,0.81,1.0,0.81,1.0,q0: start,q46: waitingForActivityReport,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.03840184211730957,0.81,1.0,0.81,1.0,q0: start,q15: Taskevent0,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.027497053146362305,0.81,1.0,0.81,1.0,q0: start,q15: Taskevent0,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.042096853256225586,0.81,1.0,0.81,1.0,q0: start,q9: companyvpcCreateUserOnInstance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02435898780822754,0.81,1.0,0.81,1.0,q0: start,q9: companyvpcCreateUserOnInstance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.062401771545410156,0.81,0.97,0.81,0.97,q0: start,q2: customerstart,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.21663308143615723,0.81,0.97,0.81,0.97,q0: start,q2: customerstart,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.03931713104248047,0.81,1.0,0.81,1.0,q0: start,q25: customerTaskevent2,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.0210421085357666,0.81,1.0,0.81,1.0,q0: start,q25: customerTaskevent2,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.05200600624084473,0.81,0.381,0.81,0.381,q0: start,q53: waitingForSubjectAcceptance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.022748947143554688,0.81,0.381,0.81,0.381,q0: start,q53: waitingForSubjectAcceptance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.04359292984008789,0.81,1.0,0.81,1.0,q0: start,q20: customerTaskevent1,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.020728111267089844,0.81,1.0,0.81,1.0,q0: start,q20: customerTaskevent1,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.04580998420715332,0.81,1.0,0.81,1.0,q0: start,q13: started,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.021687984466552734,0.81,1.0,0.81,1.0,q0: start,q13: started,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.03109002113342285,0.81,1.0,0.81,1.0,q0: start,q28: customerGivefeedback2,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.028034687042236328,0.81,1.0,0.81,1.0,q0: start,q28: customerGivefeedback2,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.041339874267578125,0.81,0.095,0.81,0.095,q0: start,q60: Resultsshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.03431105613708496,0.81,0.095,0.81,0.095,q0: start,q60: Resultsshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.04232501983642578,0.81,0.095,0.81,0.095,q0: start,q59: customersubjectAcceptanceReceived,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.022343873977661133,0.81,0.095,0.81,0.095,q0: start,q59: customersubjectAcceptanceReceived,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.03910398483276367,0.81,0.143,0.81,0.143,q0: start,q55: customerwaitingForSubjectAcceptance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.026640892028808594,0.81,0.143,0.81,0.143,q0: start,q55: customerwaitingForSubjectAcceptance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.03810381889343262,0.81,0.952,0.81,0.952,q0: start,q40: waitingForScores,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02136397361755371,0.81,0.952,0.81,0.952,q0: start,q40: waitingForScores,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.04080796241760254,0.81,1.0,0.81,1.0,q0: start,q19: Taskevent1,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.033670902252197266,0.81,1.0,0.81,1.0,q0: start,q19: Taskevent1,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.036826133728027344,0.81,1.0,0.81,1.0,q0: start,q27: Givefeedback2,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.03390789031982422,0.81,1.0,0.81,1.0,q0: start,q27: Givefeedback2,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.03878903388977051,0.81,1.0,0.81,1.0,q0: start,q52: positive,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.026290416717529297,0.81,1.0,0.81,1.0,q0: start,q52: positive,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07053780555725098,0.81,0.213,0.81,0.213,q0: start,q58: customerResultsautomaticallyshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.020613670349121094,0.81,0.213,0.81,0.213,q0: start,q58: customerResultsautomaticallyshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.039852142333984375,0.81,1.0,0.81,1.0,q0: start,q11: readyToStart,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02231884002685547,0.81,1.0,0.81,1.0,q0: start,q11: readyToStart,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.034465789794921875,0.81,0.238,0.81,0.238,q0: start,q54: companywaitingForSubjectAcceptance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02358078956604004,0.81,0.238,0.81,0.238,q0: start,q54: companywaitingForSubjectAcceptance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06437301635742188,0.81,1.0,0.81,1.0,q0: start,q47: companywaitingForActivityReport,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.022778749465942383,0.81,1.0,0.81,1.0,q0: start,q47: companywaitingForActivityReport,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.04925107955932617,0.81,0.905,0.81,0.905,q0: start,q36: waitingForManualScores,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.024101972579956055,0.81,0.905,0.81,0.905,q0: start,q36: waitingForManualScores,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.05503273010253906,0.81,1.0,0.81,1.0,q0: start,q50: companyfinished,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.024958133697509766,0.81,1.0,0.81,1.0,q0: start,q50: companyfinished,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.04943203926086426,0.81,0.381,0.81,0.381,q0: start,q51: customerwaitingForResultApproval,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.023057937622070312,0.81,0.381,0.81,0.381,q0: start,q51: customerwaitingForResultApproval,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.05208396911621094,0.81,1.0,0.81,1.0,q0: start,q12: companyreadyToStart,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.021929264068603516,0.81,1.0,0.81,1.0,q0: start,q12: companyreadyToStart,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.03976893424987793,0.81,0.619,0.81,0.619,q0: start,q37: Givefeedback4,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.027044057846069336,0.81,0.619,0.81,0.619,q0: start,q37: Givefeedback4,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.052770137786865234,0.81,0.256,0.81,0.256,q0: start,q56: Resultsautomaticallyshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02534008026123047,0.81,0.256,0.81,0.256,q0: start,q56: Resultsautomaticallyshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06593585014343262,0.81,1.0,0.81,1.0,q0: start,q32: customerGivefeedback3,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.0263979434967041,0.81,1.0,0.81,1.0,q0: start,q32: customerGivefeedback3,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.0547330379486084,0.81,0.905,0.81,0.905,q0: start,q38: companywaitingForManualScores,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.024453163146972656,0.81,0.905,0.81,0.905,q0: start,q38: companywaitingForManualScores,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.049952030181884766,0.81,0.619,0.81,0.619,q0: start,q41: Taskevent5,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.024799108505249023,0.81,0.619,0.81,0.619,q0: start,q41: Taskevent5,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.057660818099975586,0.81,0.619,0.81,0.619,q0: start,q39: customerGivefeedback4,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02536296844482422,0.81,0.619,0.81,0.619,q0: start,q39: customerGivefeedback4,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.2593882083892822,0.81,0.048,0.81,0.048,q0: start,q63: companyResultsautomaticallyshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.0271451473236084,0.81,0.048,0.81,0.048,q0: start,q63: companyResultsautomaticallyshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07723402976989746,0.81,1.0,0.81,1.0,q0: start,q18: customerGivefeedback0,q52: positive,36000,2
