,model,query,nesting,value,model_parsing_time,model_checking_time,model_construction_time,name,timeout,solver
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=204] ,0,0.001,1.201,1.201,247.153,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=5543] ,0,0.878662720615444,65.848,65.848,249.113,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=839] ,0,0.6840423953376298,198.26,198.26,247.247,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=5238] ,0,0.8088638629214475,225.428,225.428,248.231,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=2006] ,0,0.8088638629214475,227.098,227.098,249.718,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=1828] ,0,0.00211425396814215,296.155,296.155,244.403,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=4467] ,0,0.00430775957477508,298.088,298.088,245.307,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=2253] ,0,0.0020258714178806782,297.548,297.548,246.539,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=1143] ,0,0.03727335293866096,299.393,299.393,247.221,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism, Pmax=? [F loc=912] ,0,0.007223094824468312,300.343,300.343,248.753,reach_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=3456)]",0,0.4433276086457329,315.265,315.265,248.235,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=712)]",0,6.611571627308318E-4,319.468,319.468,248.072,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=244)]",0,0.003305785813654161,321.554,321.554,246.978,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=260)]",0,0.01248460171049369,320.652,320.652,248.431,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=4837)]",0,0.001384108729218208,323.964,323.964,246.437,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=767)]",0,0.0027762273003390115,327.467,327.467,247.573,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1791)]",0,0.0021677508300577105,324.474,324.474,242.426,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1905)]",0,0.0014276265623956346,326.903,326.903,253.298,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=4139)]",0,0.5347928639128205,323.432,323.432,252.237,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=4931)]",0,7.14574373069522E-4,329.395,329.395,250.601,avoid_state,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.6567553174273701,308.263,308.263,248.765,random_path,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.6567553174273701,307.454,307.454,247.487,random_path,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.6567553174273701,311.049,311.049,247.486,random_path,3600,prism
0,out/models/model_spotify1000_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.6567553174273701,311.675,311.675,251.506,random_path,3600,prism
