,name,states,transitions,encoding,sense,time,reachability_value,importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.00666499137878418,1.0,0.0,q0: start,"(4, 1, 3)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.0026841163635253906,1.0,0.0,q0: start,"(4, 1, 3)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.12256598472595215,1.0,1.0,q0: start,"(4, 1, 6)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.004809141159057617,1.0,1.0,q0: start,"(4, 1, 6)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.007490873336791992,1.0,0.0,q0: start,"(4, 1, 4)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.004072904586791992,1.0,0.0,q0: start,"(4, 1, 4)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.12494897842407227,1.0,1.0,q0: start,"(4, 1, 5)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.0031518936157226562,1.0,1.0,q0: start,"(4, 1, 5)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.008970022201538086,1.0,0.0,q0: start,"(4, 1, 4)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.002660036087036133,1.0,0.0,q0: start,"(4, 1, 4)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.12192010879516602,1.0,1.0,q0: start,"(4, 1, 7)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.0037009716033935547,1.0,1.0,q0: start,"(4, 1, 7)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.2609419822692871,1.0,0.0,q0: start,"(5, 1, 6)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.006986141204833984,1.0,0.0,q0: start,"(5, 1, 6)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.008353948593139648,1.0,0.0,q0: start,"(5, 1, 2)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.008011102676391602,1.0,0.0,q0: start,"(5, 1, 2)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.01654791831970215,1.0,0.0,q0: start,"(4, 1, 1)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.006869077682495117,1.0,0.0,q0: start,"(4, 1, 1)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.023515939712524414,1.0,0.0,q0: start,"(4, 1, 0)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.0059239864349365234,1.0,0.0,q0: start,"(4, 1, 0)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.009341001510620117,1.0,0.0,q0: start,"(4, 1, 1)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.033039093017578125,1.0,0.0,q0: start,"(4, 1, 1)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.15248894691467285,1.0,0.0,q0: start,"(4, 1, 8)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.0036711692810058594,1.0,0.0,q0: start,"(4, 1, 8)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.1429908275604248,1.0,0.0,q0: start,"(4, 1, 6)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.004151105880737305,1.0,0.0,q0: start,"(4, 1, 6)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.016770124435424805,1.0,0.0,q0: start,"(4, 1, 2)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.005557060241699219,1.0,0.0,q0: start,"(4, 1, 2)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.04916191101074219,1.0,0.0,q0: start,"(4, 1, 2)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.0052700042724609375,1.0,0.0,q0: start,"(4, 1, 2)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.014711141586303711,1.0,0.0,q0: start,"(4, 1, 0)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.00557398796081543,1.0,0.0,q0: start,"(4, 1, 0)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.015735149383544922,1.0,0.0,q0: start,"(5, 1, 0)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.008304834365844727,1.0,0.0,q0: start,"(5, 1, 0)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.012597084045410156,1.0,0.0,q0: start,"(4, 1, 3)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.023170948028564453,1.0,0.0,q0: start,"(4, 1, 3)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.21986007690429688,1.0,0.0,q0: start,"(4, 1, 5)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.00563502311706543,1.0,0.0,q0: start,"(4, 1, 5)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.017560958862304688,1.0,0.0,q0: start,"(5, 1, 4)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.008686065673828125,1.0,0.0,q0: start,"(5, 1, 4)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.015603065490722656,1.0,0.0,q0: start,"(5, 1, 3)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.0037419795989990234,1.0,0.0,q0: start,"(5, 1, 3)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.016203880310058594,1.0,0.0,q0: start,"(5, 1, 1)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.0034439563751220703,1.0,0.0,q0: start,"(5, 1, 1)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.37441492080688477,1.0,0.0,q0: start,"(5, 1, 9)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.0035741329193115234,1.0,0.0,q0: start,"(5, 1, 9)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.01590895652770996,1.0,0.0,q0: start,"(5, 1, 2)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.0042400360107421875,1.0,0.0,q0: start,"(5, 1, 2)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.04319405555725098,1.0,0.0,q0: start,"(5, 1, 3)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.005627870559692383,1.0,0.0,q0: start,"(5, 1, 3)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.2558908462524414,1.0,1.0,q0: start,"(4, 1, 8)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.004879951477050781,1.0,1.0,q0: start,"(4, 1, 8)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.013422966003417969,1.0,0.0,q0: start,"(5, 1, 0)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004287004470825195,1.0,0.0,q0: start,"(5, 1, 0)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.27150988578796387,1.0,0.0,q0: start,"(5, 1, 10)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004809141159057617,1.0,0.0,q0: start,"(5, 1, 10)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.2284221649169922,1.0,0.0,q0: start,"(4, 1, 7)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.004911899566650391,1.0,0.0,q0: start,"(4, 1, 7)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.015983104705810547,1.0,0.0,q0: start,"(5, 1, 4)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004024028778076172,1.0,0.0,q0: start,"(5, 1, 4)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.01671886444091797,1.0,0.0,q0: start,"(5, 1, 5)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.013074159622192383,1.0,0.0,q0: start,"(5, 1, 5)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.017467975616455078,1.0,0.0,q0: start,"(5, 1, 5)",positive,3600,2
