,name,states,transitions,encoding,sense,time,reachability_value,importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.006103992462158203,0.8095238095238095,0.029411764705882353,q0: start,q21: companyTaskevent0,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.0033540725708007812,0.8095238095238095,0.029411764705882353,q0: start,q21: companyTaskevent0,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.018650054931640625,9.933601340597861e-05,0.0,q0: start,q21: companyTaskevent0,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.004394054412841797,0.8095238095238095,1.0,q0: start,q22: Givefeedback1,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.002672910690307617,0.8095238095238095,1.0,q0: start,q22: Givefeedback1,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.004327058792114258,0.06760843559901705,1.0,q0: start,q22: Givefeedback1,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.004257917404174805,0.8095238095238095,1.0,q0: start,q7: vpcCreateUserOnInstance,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.0027761459350585938,0.8095238095238095,1.0,q0: start,q7: vpcCreateUserOnInstance,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.004344940185546875,0.0637173773689724,1.0,q0: start,q7: vpcCreateUserOnInstance,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.004250049591064453,0.8095238095238095,1.0,q0: start,q24: Taskevent2,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.0026412010192871094,0.8095238095238095,1.0,q0: start,q24: Taskevent2,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.0040700435638427734,0.06760843559901705,1.0,q0: start,q24: Taskevent2,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.0057489871978759766,0.8095238095238095,0.0,q0: start,q26: negative,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.0028128623962402344,0.8095238095238095,0.0,q0: start,q26: negative,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.004801034927368164,0.11341601089519361,0.0,q0: start,q26: negative,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,-1,0.006112098693847656,0.8095238095238095,1.0,q0: start,q12: companyreadyToStart,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,-1,0.002975940704345703,0.8095238095238095,1.0,q0: start,q12: companyreadyToStart,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,-1,0.0048999786376953125,0.06371798086204858,1.0,q0: start,q12: companyreadyToStart,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.008317947387695312,0.8095238095238095,0.9696969696969697,q0: start,q8: activated,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.0036728382110595703,0.8095238095238095,0.9696969696969697,q0: start,q8: activated,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.007968902587890625,0.008136420959318285,0.0,q0: start,q8: activated,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,-1,0.0046579837799072266,0.8095238095238095,1.0,q0: start,q23: customerGivefeedback1,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,-1,0.0027191638946533203,0.8095238095238095,1.0,q0: start,q23: customerGivefeedback1,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,-1,0.005403041839599609,0.06760933546347814,1.0,q0: start,q23: customerGivefeedback1,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,-1,0.00474095344543457,0.8095238095238095,1.0,q0: start,q29: Taskevent3,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,-1,0.003053903579711914,0.8095238095238095,1.0,q0: start,q29: Taskevent3,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,-1,0.004807949066162109,0.08166595925668507,1.0,q0: start,q29: Taskevent3,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,-1,0.005482912063598633,0.8095238095238095,0.029411764705882353,q0: start,q21: companyTaskevent0,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,-1,0.003504037857055664,0.8095238095238095,0.029411764705882353,q0: start,q21: companyTaskevent0,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,-1,0.0066449642181396484,0.007880352964417102,1.0,q0: start,q21: companyTaskevent0,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,-1,0.005677938461303711,0.8095238095238095,0.9523809523809523,q0: start,q40: waitingForScores,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,-1,0.09859704971313477,0.8095238095238095,0.9523809523809533,q0: start,q40: waitingForScores,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,-1,0.07798385620117188,0.10637251935127535,0.9523809523809523,q0: start,q40: waitingForScores,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,-1,0.004876852035522461,0.8095238095238095,0.380952380952381,q0: start,q53: waitingForSubjectAcceptance,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,-1,0.004364013671875,0.8095238095238095,0.3809523809523809,q0: start,q53: waitingForSubjectAcceptance,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,-1,0.1149139404296875,0.10637259533580866,0.38095238095238093,q0: start,q53: waitingForSubjectAcceptance,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.12198996543884277,0.8095238095238095,1.0,q0: start,q14: customerstarted,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.1099247932434082,0.8095238095238095,1.0,q0: start,q14: customerstarted,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.636613130569458,0.0637173773689724,1.0,q0: start,q14: customerstarted,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.005613088607788086,0.8095238095238095,1.0,q0: start,q19: Taskevent1,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.09325599670410156,0.8095238095238095,1.0,q0: start,q19: Taskevent1,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.12761998176574707,0.0637173773689724,1.0,q0: start,q19: Taskevent1,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.22018098831176758,0.8095238095238095,1.0,q0: start,q18: customerGivefeedback0,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.058561086654663086,0.8095238095238095,1.0,q0: start,q18: customerGivefeedback0,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.10117697715759277,0.0637173773689724,1.0,q0: start,q18: customerGivefeedback0,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.11555886268615723,0.8095238095238095,0.09523809523809525,q0: start,q60: Resultsshared,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.013419866561889648,0.8095238095238095,0.09523809523809518,q0: start,q60: Resultsshared,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.1200551986694336,0.10637239448856246,0.09523809523809523,q0: start,q60: Resultsshared,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.44385480880737305,0.8095238095238095,1.0,q0: start,q9: companyvpcCreateUserOnInstance,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.024211883544921875,0.8095238095238095,1.0,q0: start,q9: companyvpcCreateUserOnInstance,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.049963951110839844,0.06371737736897236,1.0,q0: start,q9: companyvpcCreateUserOnInstance,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,-1,0.7001829147338867,0.8095238095238095,0.0,q0: start,q26: negative,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,-1,0.05921602249145508,0.8095238095238095,0.0,q0: start,q26: negative,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,-1,0.03502297401428223,0.11341601089519361,0.0,q0: start,q26: negative,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.12164902687072754,0.8095238095238095,0.9523809523809522,q0: start,q42: companywaitingForScores,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.014723062515258789,0.8095238095238095,0.9523809523809537,q0: start,q42: companywaitingForScores,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.042016029357910156,0.10637265648467994,0.9523809523809523,q0: start,q42: companywaitingForScores,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.7307600975036621,0.8095238095238095,0.0,q0: start,q48: customerwaitingForActivityReport,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.08784985542297363,0.8095238095238095,0.0,q0: start,q48: customerwaitingForActivityReport,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.2089691162109375,0.11341601089519361,0.0,q0: start,q48: customerwaitingForActivityReport,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.36619019508361816,0.8095238095238095,1.0,q0: start,q27: Givefeedback2,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.08626985549926758,0.8095238095238095,1.0,q0: start,q27: Givefeedback2,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.13948702812194824,0.08166538720797137,1.0,q0: start,q27: Givefeedback2,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.22863411903381348,0.8095238095238095,1.0,q0: start,q30: customerTaskevent3,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.080596923828125,0.8095238095238095,1.0,q0: start,q30: customerTaskevent3,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.02551889419555664,0.08166538682938364,1.0,q0: start,q30: customerTaskevent3,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.3256499767303467,0.8095238095238095,0.09523809523809525,q0: start,q59: customersubjectAcceptanceReceived,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.05931591987609863,0.8095238095238095,0.09523809523809518,q0: start,q59: customersubjectAcceptanceReceived,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.2071840763092041,0.10637239448856246,0.09523809523809523,q0: start,q59: customersubjectAcceptanceReceived,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.2909560203552246,0.8095238095238095,1.0,q0: start,q20: customerTaskevent1,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.0830221176147461,0.8095238095238095,1.0,q0: start,q20: customerTaskevent1,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.027905941009521484,0.0637173773689724,1.0,q0: start,q20: customerTaskevent1,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.23741602897644043,0.8095238095238095,1.0,q0: start,q32: customerGivefeedback3,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.03349900245666504,0.8095238095238095,1.0,q0: start,q32: customerGivefeedback3,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.023992061614990234,0.0637173773689724,1.0,q0: start,q32: customerGivefeedback3,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.24267101287841797,0.8095238095238095,1.0,q0: start,q29: Taskevent3,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.05253100395202637,0.8095238095238095,1.0,q0: start,q29: Taskevent3,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.04359602928161621,0.08166538682938364,1.0,q0: start,q29: Taskevent3,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.27673912048339844,0.8095238095238095,1.0,q0: start,q11: readyToStart,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.0872960090637207,0.8095238095238095,1.0,q0: start,q11: readyToStart,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.033615827560424805,0.0637173773689724,1.0,q0: start,q11: readyToStart,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.6150860786437988,0.8095238095238095,0.09523809523809525,q0: start,q61: companyResultsshared,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.015120983123779297,0.8095238095238095,0.09523809523809518,q0: start,q61: companyResultsshared,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.023984909057617188,0.10637239448856246,0.09523809523809523,q0: start,q61: companyResultsshared,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.17901897430419922,0.8095238095238095,1.0,q0: start,q0: start,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.08702397346496582,0.8095238095238095,1.0,q0: start,q0: start,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.04603910446166992,0.0637173773689724,1.0,q0: start,q0: start,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.17739510536193848,0.8095238095238095,1.0,q0: start,q46: waitingForActivityReport,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.049772024154663086,0.8095238095238095,1.0,q0: start,q46: waitingForActivityReport,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.0581510066986084,0.0637173773689724,1.0,q0: start,q46: waitingForActivityReport,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.20466899871826172,0.8095238095238095,1.0,q0: start,q25: customerTaskevent2,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.04856395721435547,0.8095238095238095,1.0,q0: start,q25: customerTaskevent2,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.051329851150512695,0.06760843559901705,1.0,q0: start,q25: customerTaskevent2,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.18759584426879883,0.8095238095238095,0.2559523809523809,q0: start,q62: companysubjectAcceptanceReceived,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.08616781234741211,0.8095238095238095,0.2559523809523809,q0: start,q62: companysubjectAcceptanceReceived,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.02882099151611328,0.10637257318835622,0.2559523809523763,q0: start,q62: companysubjectAcceptanceReceived,q52: positive,3600,2
0,out/models/model_greps_model-it_0.pickle,64,78,QP,1,0.24689412117004395,0.8095238095238095,1.0,q0: start,q44: waitingForResultApproval,q52: positive,3600,2
1,out/models/model_greps_model-it_0.pickle,64,78,LP,1,0.06523585319519043,0.8095238095238095,1.0,q0: start,q44: waitingForResultApproval,q52: positive,3600,2
2,out/models/model_greps_model-it_0.pickle,64,78,GQP,1,0.04153180122375488,0.0637173773689724,1.0,q0: start,q44: waitingForResultApproval,q52: positive,3600,2
