,model,query,nesting,value,model_checking_time,model_construction_time,name,timeout
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=51] ,0,0.02,0.12,12.476,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=501] ,0,0.9314506172248824,0.273,12.671,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=228] ,0,0.9314506172248824,0.283,13.15,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=209] ,0,0.8791407195542429,5.898,13.05,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1508] ,0,0.7725855911492756,10.673,12.501,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=457] ,0,0.7725855911492756,10.451,12.678,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1309] ,0,0.021179230197511924,14.152,12.354,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=285] ,0,0.7657468663298427,12.928,13.732,reach_state,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=563] ,0,0.010696806598319255,13.46,13.555,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.614,12.562,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.655,12.659,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.559,12.667,random_path,600
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1518] ,0,0.010696806598319248,13.962,13.569,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.798,12.903,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=15 & ((X( loc=61 & ((X( loc=97 & (X( loc=101 ))))))))))))))]",5,0.006521553373855504,15.24,12.796,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,15.11,13.057,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=23 & ((X( loc=69 & (X( loc=96 )))))))))))]",4,0.006458566293970552,15.762,12.668,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=26 & ((X( loc=72 & (X( loc=96 )))))))))))]",4,0.006458566293970552,15.912,12.27,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=16 )))))]",2,0.019501673041681558,16.048,12.678,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=3 & ((X( loc=49 & ((X( loc=94 & ((X( loc=98 & (X( loc=571 )))))))))))))))))]",6,1.8211035294425252E-5,15.854,13.195,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=61)]",0,0.03880365266371047,15.504,12.802,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=42 )))))]",2,0.012980119667826057,16.321,12.66,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=20 & (X( loc=66 ))))))))]",3,0.019438685961796605,15.715,13.238,random_path,600
