,name,states,transitions,encoding,sense,time,reachability_value,importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,438.4372489452362,0.6567915214632191,0.0,q0: start,q5589: song_10_major_2_9_4,q5823: positive,3600,2
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,135.7115659713745,0.6567915214632191,0.0,q0: start,q5589: song_10_major_2_9_4,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,171.33912587165833,0.6567915214632198,0.0,q0: start,q5142: song_10_major_1_2_9,q5823: positive,3600,2
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,516.7228209972382,0.6567915214632198,0.0,q0: start,q5142: song_10_major_1_2_9,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,1383.106822013855,0.6567915214632191,0.0,q0: start,q868: song_10_major_5_6_9,q5823: positive,3600,2
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,43.33231210708618,0.6567915214632191,0.0,q0: start,q868: song_10_major_5_6_9,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.014708995819,0.0,0.0,q0: start,q3401: companysong_90_major_1_5_6,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,24.942270040512085,0.6567915214632193,0.0,q0: start,q3401: companysong_90_major_1_5_6,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.018205165863,0.0,0.0,q0: start,q826: song_10_major_2_8_7,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,60.793095111846924,0.6567915214632198,0.0,q0: start,q826: song_10_major_2_8_7,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0561349391937,0.0,0.0,q0: start,q3114: companysong_10_major_0_3_8,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,74.06252598762512,0.6567915214632198,0.0,q0: start,q3114: companysong_10_major_0_3_8,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0314700603485,0.0,0.0,q0: start,q426: song_10_major_2_4_5,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,92.59688687324524,0.6567915214632198,0.0,q0: start,q426: song_10_major_2_4_5,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.031611919403,0.0,0.0,q0: start,q5657: companysong_10_minor_8_6_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,334.7547640800476,0.6567915214632198,0.0,q0: start,q5657: companysong_10_minor_8_6_4,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0201399326324,0.0,0.0,q0: start,q3117: companysong_10_major_7_4_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,338.2493829727173,0.6567915214632198,0.0,q0: start,q3117: companysong_10_major_7_4_4,q5823: positive,3600,2
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.054219007492,0.0,0.0,q0: start,q1798: companyplayed_10_major_0_2_6,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.002023935318,0.0,0.0,q0: start,q1798: companyplayed_10_major_0_2_6,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0263340473175,0.0,0.0,q0: start,q519: played_10_major_5_5_5,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0009360313416,0.0,0.0,q0: start,q519: played_10_major_5_5_5,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.098675966263,0.0,0.0,q0: start,q484: played_10_minor_1_8_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.000962972641,0.0,0.0,q0: start,q484: played_10_minor_1_8_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0126798152924,0.0,0.0,q0: start,q3204: played_10_major_7_5_1,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0012719631195,0.0,0.0,q0: start,q3204: played_10_major_7_5_1,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0088860988617,0.0,0.0,q0: start,q924: played_10_major_9_6_7,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0007679462433,0.0,0.0,q0: start,q924: played_10_major_9_6_7,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.019170999527,0.0,0.0,q0: start,q3818: companyplayed_10_major_8_8_2,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0054450035095,0.0,0.0,q0: start,q3818: companyplayed_10_major_8_8_2,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0085320472717,0.0,0.0,q0: start,q3452: played_70_major_0_5_6,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.003805875778,0.0,0.0,q0: start,q3452: played_70_major_0_5_6,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.015907049179,0.0,0.0,q0: start,q1292: companyplayed_10_major_1_7_8,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.003196954727,0.0,0.0,q0: start,q1292: companyplayed_10_major_1_7_8,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.04053401947,0.0,0.0,q0: start,q3150: played_90_major_0_8_6,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.000722169876,0.0,0.0,q0: start,q3150: played_90_major_0_8_6,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.008584022522,0.0,0.0,q0: start,q4048: companyplayed_90_major_6_1_2,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.000834941864,0.0,0.0,q0: start,q4048: companyplayed_90_major_6_1_2,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.017846107483,0.0,0.0,q0: start,q5220: played_90_major_7_6_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.00315618515,0.0,0.0,q0: start,q5220: played_90_major_7_6_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0242071151733,0.0,0.0,q0: start,q5676: played_10_major_9_8_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.002767086029,0.0,0.0,q0: start,q5676: played_10_major_9_8_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.014975786209,0.0,0.0,q0: start,q1272: companyplayed_10_minor_4_6_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0292518138885,0.6567915214632193,0.004248446225385408,q0: start,q1272: companyplayed_10_minor_4_6_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.08811211586,0.0,0.0,q0: start,q5605: companyplayed_10_minor_6_3_5,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0033869743347,0.0,0.0,q0: start,q5605: companyplayed_10_minor_6_3_5,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.005975008011,0.0,0.0,q0: start,q3856: companyplayed_10_major_1_9_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.001883983612,0.0,0.0,q0: start,q3856: companyplayed_10_major_1_9_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0083618164062,0.0,0.0,q0: start,q387: played_80_major_1_6_5,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0040471553802,0.0,0.0,q0: start,q387: played_80_major_1_6_5,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0263800621033,0.0,0.0,q0: start,q2463: companyplayed_10_major_3_3_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.004060983658,0.0,0.0,q0: start,q2463: companyplayed_10_major_3_3_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.055995941162,0.0,0.0,q0: start,q1298: companyplayed_10_major_5_4_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.044986009598,0.6567915214632178,0.007522901377451394,q0: start,q1298: companyplayed_10_major_5_4_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.051836013794,0.0,0.0,q0: start,q4640: companyplayed_10_major_1_4_1,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.000921010971,0.0,0.0,q0: start,q4640: companyplayed_10_major_1_4_1,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0438270568848,0.0,0.0,q0: start,q5251: companyplayed_70_major_8_4_3,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0021159648895,0.0,0.0,q0: start,q5251: companyplayed_70_major_8_4_3,q5823: positive,3600,9
