,model,query,nesting,value,model_parsing_time,model_checking_time,model_construction_time,name,timeout,solver
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=300] ,0,0.01046200202,0.093,0.003,0.207,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1430] ,0,0.8791446589,0.095,0.001,0.208,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=501] ,0,0.931453248,0.097,0.001,0.211,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=151] ,0,0.8791446589,0.097,0.001,0.212,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=61] ,0,0.06,0.1,0.0,0.211,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=282] ,0,0.9719333491,0.098,0.001,0.212,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=909] ,0,0.931453248,0.098,0.001,0.209,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1320] ,0,0.0104635125,0.096,0.003,0.21,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=323] ,0,0.0104635125,0.1,0.003,0.21,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1567] ,0,0.01069500001,0.095,0.003,0.209,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1216] ,0,0.8791446589,0.099,0.001,0.215,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=25] ,0,0.04,0.097,0.0,0.22,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=748] ,0,0.0104635125,0.1,0.003,0.213,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=869] ,0,0.01069500001,0.101,0.003,0.218,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1080] ,0,0.8791446589,0.1,0.001,0.217,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=613] ,0,0.7725919432,0.101,0.001,0.218,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1441] ,0,0.01069719525,0.101,0.003,0.219,reach_state,3600,storm
